w,y,tariff.plan,payment.method,gender,age,activ.area,activ.chan,vas1,vas2,q01.out.ch.peak,q01.out.dur.peak,q01.out.val.peak,q01.out.ch.offpeak,q01.out.dur.offpeak,q01.out.val.offpeak,q01.in.ch.tot,q01.in.dur.tot,q01.ch.sms,q01.ch.cc,q02.out.ch.peak,q02.out.dur.peak,q02.out.val.peak,q02.out.ch.offpeak,q02.out.dur.offpeak,q02.out.val.offpeak,q02.in.ch.tot,q02.in.dur.tot,q02.ch.sms,q02.ch.cc,q03.out.ch.peak,q03.out.dur.peak,q03.out.val.peak,q03.out.ch.offpeak,q03.out.dur.offpeak,q03.out.val.offpeak,q03.in.ch.tot,q03.in.dur.tot,q03.ch.sms,q03.ch.cc,q04.out.ch.peak,q04.out.dur.peak,q04.out.val.peak,q04.out.ch.offpeak,q04.out.dur.offpeak,q04.out.val.offpeak,q04.in.ch.tot,q04.in.dur.tot,q04.ch.sms,q04.ch.cc,q05.out.ch.peak,q05.out.dur.peak,q05.out.val.peak,q05.out.ch.offpeak,q05.out.dur.offpeak,q05.out.val.offpeak,q05.in.ch.tot,q05.in.dur.tot,q05.ch.sms,q05.ch.cc,q06.out.ch.peak,q06.out.dur.peak,q06.out.val.peak,q06.out.ch.offpeak,q06.out.dur.offpeak,q06.out.val.offpeak,q06.in.ch.tot,q06.in.dur.tot,q06.ch.sms,q06.ch.cc,q07.out.ch.peak,q07.out.dur.peak,q07.out.val.peak,q07.out.ch.offpeak,q07.out.dur.offpeak,q07.out.val.offpeak,q07.in.ch.tot,q07.in.dur.tot,q07.ch.sms,q07.ch.cc,q08.out.ch.peak,q08.out.dur.peak,q08.out.val.peak,q08.out.ch.offpeak,q08.out.dur.offpeak,q08.out.val.offpeak,q08.in.ch.tot,q08.in.dur.tot,q08.ch.sms,q08.ch.cc,q09.out.ch.peak,q09.out.dur.peak,q09.out.val.peak,q09.out.ch.offpeak,q09.out.dur.offpeak,q09.out.val.offpeak,q09.in.ch.tot,q09.in.dur.tot,q09.ch.sms,q09.ch.cc
1,8.2829886927426,7,bank account,M,35.86,1,5,Y,N,152,22465,172.9098,241,46404,146.5705,17,2194,13,6,111,24854,181.5506,181,36048,110.089,9,556,8,2,159,52125,366.5512,187,45860,133.3729,31,1685,10,1,195,41295,291.6928,307,71146,203.0662,45,3434,22,3,402,110580,430.7411,54,26664,73.1246,45,5821,15,16,443,105970,405.8861,0,0,0,13,2405,18,1,481,105964,409.4708,0,0,0,20,2299,12,1,216,38247,161.6283,0,0,0,5,367,23,1,520,124208,475.7002,0,0,0,116,19288,97,1
1,4.74493212836325,8,credit card,F,20,1,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.1544,0,0,0,3,134,1,0,27,3273,19.5567,0,0,0,31,3899,7,0,29,3561,21.2408,0,0,0,32,2624,6,0,24,4175,23.8686,0,0,0,30,4031,0,0
1,6.94793706861497,7,credit card,F,27.6,3,7,Y,N,125,12538,86.9956,0,0,0,57,2471,0,0,201,15917,102.3111,0,0,0,116,10253,3,0,162,17385,100.9973,0,0,0,94,5620,6,6,236,32787,135.5896,0,0,0,123,11040,1,2,359,49953,206.2181,0,0,0,187,20561,6,3,350,50421,207.9534,0,0,0,161,17808,9,1,366,38539,163.6988,0,0,0,148,17212,18,0,286,36409,140.9401,0,0,0,113,18781,2,2,326,47268,176.1846,0,0,0,131,40350,1,1
1,7.1074254741107,7,credit card,B,17.54,1,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8826,32.9887,0,0,0,25,5007,0,0
1,7.7367436824535,7,bank account,B,48.68,2,5,N,N,280,39788,166.6803,0,0,0,178,37094,0,0,241,30771,129.4633,0,0,0,249,34000,0,0,319,37655,160.8133,0,0,0,349,46995,0,0,294,32426,140.562,0,0,0,246,40751,0,1,307,39501,165.9515,0,0,0,248,38906,0,1,312,39602,166.8022,0,0,0,262,38397,0,0,319,35447,153.4099,0,0,0,296,31614,0,1,59,7023,29.9622,0,0,0,70,9526,0,0,238,30463,127.9026,0,0,0,227,27687,0,1
1,8.76732914779405,3,credit card,B,33.63,3,5,N,N,47,2024,14.7025,28,1070,5.6113,32,434,0,0,51,3187,20.6676,29,1512,6.8384,63,702,0,0,89,4171,29.4866,22,960,4.7122,42,512,0,0,55,2123,16.0086,28,920,5.2307,51,761,0,2,67,3060,21.8074,63,3220,14.6891,50,692,0,0,114,5103,36.6049,47,1987,9.902,86,2261,0,0,70,2840,21.0456,21,834,4.2887,95,1583,0,0,72,4331,28.5079,67,3394,15.441,94,2840,18,0,28,1118,8.3325,34,1034,6.0358,34,741,1,0
1,6.40522845803084,7,bank account,B,25.31,3,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,9834,50.2564,0,0,0,199,15562,0,0,146,8697,44.5315,0,0,0,190,15424,0,0,168,12253,58.889,0,0,0,158,13062,0,0,129,8572,42.4543,0,0,0,112,7813,0,0,23,984,5.7192,0,0,0,14,1038,0,0,99,5995,30.6006,0,0,0,119,10436,0,0
1,5.89715386763674,7,bank account,M,16.98,2,5,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1261,6.5043,0,0,0,12,632,0,1
1,7.21081845347222,7,credit card,B,20.49,3,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,8167,38.9088,0,0,0,141,12606,0,0,241,17364,83.7946,0,0,0,184,15783,25,1,125,11384,51.6002,0,0,0,93,7603,1,1,226,19662,89.9565,0,0,0,130,16090,0,0
1,6.42486902390539,7,bank account,M,32.85,2,5,Y,N,32,5286,34.5701,133,23618,71.2282,88,14130,39,0,33,5823,33.4132,89,23348,62.0445,90,11606,36,1,59,5240,41.5071,98,17014,49.3423,173,18348,2,0,49,4481,28.8999,75,19506,50.6918,125,25929,0,3,122,23674,87.7424,0,0,0,105,7160,0,2,126,25589,96.8827,0,0,0,81,8613,9,0,53,6157,24.4749,0,0,0,71,10041,11,0,106,16089,65.6246,0,0,0,70,6364,10,0,124,15674,66.0755,0,0,0,106,12292,0,0
1,6.42162226780652,7,credit card,B,41.27,3,5,N,N,100,8984,71.8118,105,14384,43.5786,211,11281,0,0,80,5944,48.9441,87,9772,31.2926,186,10024,0,0,92,6366,53.0675,88,8624,28.6727,172,8414,0,1,88,7228,57.5849,123,10523,35.6464,252,14747,0,0,76,7395,58.4588,82,8093,26.8408,215,10023,0,0,173,18317,107.7778,47,6344,19.3372,206,8954,0,7,285,29697,130.2546,0,0,0,160,8996,0,1,230,18640,86.897,0,0,0,153,7645,0,0,188,15835,73.1287,0,0,0,124,6469,0,0
1,6.14203740558736,6,credit card,B,29.4,2,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1963,8.1166,0,0,0,17,2053,35,1,90,11023,46.7554,0,0,0,54,5844,8,2,113,18605,74.8976,0,0,0,41,6512,32,4,92,14828,59.7907,0,0,0,77,8158,29,5,89,12194,50.6314,0,0,0,82,7123,21,11,42,9713,37.2443,0,0,0,39,5720,17,5,90,15233,60.961,0,0,0,43,6952,25,4
1,3.71357206670431,8,bank account,B,43.6,1,5,Y,N,88,17347,93.4833,38,3585,16.8881,223,26104,0,1,82,17190,92.0987,16,1362,5.1129,234,23463,0,0,85,18580,99.0683,15,607,3.091,189,21602,0,0,58,12310,65.8803,8,473,2.0276,137,15776,0,0,67,11060,60.6026,18,994,4.4508,166,13981,0,1,103,14703,85.6461,0,0,0,193,20479,0,1,110,13810,82.0103,0,0,0,235,18685,0,1,110,15752,92.0615,0,0,0,140,22288,0,1,76,10824,34.3588,0,0,0,80,4876,0,1
1,3.52636052461616,8,post account,M,23.93,3,5,N,N,0,0,0,0,0,0,0,0,0,0,1,790,2.7878,0,0,0,0,0,0,0,160,20598,111.5604,0,0,0,207,16585,0,0,108,13767,58.9117,0,0,0,159,21163,2,0,4,357,1.6258,0,0,0,10,1503,0,0,9,905,13.1707,0,0,0,30,3476,0,1,109,8721,61.6427,0,0,0,108,11700,0,0,57,6193,45.802,0,0,0,33,2961,0,0,32,2650,16.8819,0,0,0,56,3929,0,0
